Description,filenameGRN,Average branch length,Average contraction,Average fragmentation,Average remote bif. angle,Average partition asymmetry,Average fractal dimension,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of nodes,No. of primary branches,No. of inner branches,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width,Sholl: Centroid,Sholl: Centroid radius,Sholl: Decay,Sholl: Enclosing radius,Sholl: Intercept,Sholl: Kurtosis,Sholl: Max,Sholl: Max (fitted),Sholl: Max (fitted) radius,Sholl: Mean,Sholl: Median,Sholl: No. maxima,Sholl: No. secondary maxima,Sholl: Degree of Polynomial fit,Sholl: Skeweness,Sholl: Sum,Sholl: Variance
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_5279116,grn_3.grn,86.5072787090569,0.961713214146968,8.26315789473684,81.562251853301,0.555555555555556,1.00791670066675,579.585132,182.587276,4,1643.63829547208,0.115625,9,19,139,1,3,10,10,368.531093796065,474.084693471265,797.56146651947,3,1.83333333333333,189.313065,2.27659574468085,292.26262464402,2.7938379756724,584.52524928804,-2.03683547995671,0.978639906257842,8,7.28122149918775,317.676765917413,2.27659574468085,1,1,0,20,1.5745123424976,107,4.63922294172063
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_31777772,grn_3.grn,47.0159514412655,0.974177156516858,5.33333333333333,78.3321313057918,0.5,1.00843306452452,457.377584,200.060747,5,2115.71781485695,0.074048913043478,22,45,196,1,2,23,23,371.67209636722,391.685985411857,779.189099730755,4,2.47916666666667,223.227968,3.20512820512821,227.503388692236,2.3382282962642,455.006777384473,-4.07518502233465,2.21663765115572,12,12.2107875941859,299.346564068732,3.20512820512821,2,1,0,19,1.72402956478364,125,10.2199730094467
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_65423370,grn_3.grn,68.3999329357135,0.967082563302524,6.83934426229508,70.098188534338,0.507099257562087,1.00734749268626,517.844071,326.701612,13,20861.9795453926,0.09875408496732,152,305,1782,1,3,153,153,114.95321073632,135.786191895169,11824.1126776507,5,2.86797532177967,354.817324,29.2682926829268,251.45049451962,1.71116486123965,502.90098903924,-5.65179275609421,0.195954802564692,104,102.759106718012,364.603217053449,29.2682926829268,17,1,0,20,1.17572184946687,1200,1000.6512195122
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_11898383,grn_3.grn,600.991078140508,0.92992246040871,44,NaN,NaN,1.00822689813623,548.303965,105.464423,1,600.991078140508,0.34375,0,1,44,1,1,1,1,600.991078140508,600.991078140508,600.991078140508,1,NaN,46.936082,1,272.552797888696,3,545.105595777392,-1.43241195830118,NaN,1,1,272.552797888696,1,1,40,0,0,NaN,40,0
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_1825776,grn_3.grn,93.862955603464,0.964877210655381,8.53333333333333,51.0504595222194,0.357142857142857,1.00919555386042,584.962012,227.42846,5,1407.94433405196,0.1181640625,7,15,114,1,4,8,8,229.904847707734,505.250046900373,682.809524720575,3,1.70833333333333,158.468764,1.84444444444444,288.391869893281,2.72594999031187,576.783739786562,-2.4763812611849,2.69202196962774,6,5.70833419813205,419.479083481136,1.84444444444444,1,1,0,20,1.87275312811061,83,1.77070707070707
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_17935076,grn_3.grn,60.05394061461,0.968594992425227,6.2093023255814,65.7654367445687,0.422780394208966,1.00909578861556,451.985196,251.856183,5,2582.31944642823,0.087357954545455,21,43,225,1,1,22,22,290.944068290888,290.944068290888,1129.45708357717,4,3.51648351648352,221.537871,3.57894736842105,230.500396635577,2.28826409412196,461.000793271154,-4.32574586672604,1.35414125912917,14,13.7011572843674,348.86546517817,3.57894736842105,1,1,0,19,1.58602739520196,136,15.3314366998578
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_92127812,grn_3.grn,61.3505853101523,0.953597854800318,6.31543624161074,77.2589323306345,0.50245502358788,1.01035242657059,495.956892,392.411368,10,27423.7116336381,0.090680803571429,223,447,2377,1,2,224,224,19.8864845869156,51.5607744552914,14787.3951445126,6,2.6594343490821,437.416016,32.4285714285714,255.53820703679,2.03979681557889,511.07641407358,-4.0285248057284,1.43043285162575,157,156.107352966735,349.027794977079,32.4285714285714,8.5,1,0,20,1.67118715532735,1362,2228.59233449477
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_24508106,grn_3.grn,62.4776049904157,0.949733829221098,6.4120082815735,75.6248465101557,0.478428784658708,1.01161246255063,543.144537,510.910598,11,30176.6832103708,0.092200413223141,241,483,2615,1,3,242,242,32.9354730052949,111.157761741116,16071.5211156289,6,2.47768429030915,503.331879,33.1333333333333,274.201188562057,0.014574636059247,548.402377124114,-11.1429043060892,1.36059032663421,159,157.644545670815,286.664878951242,33.1333333333333,8,1,0,20,1.60765051021691,1491,2267.57272727273
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_32665251,grn_3.grn,61.7139453865286,0.954916483100717,6.32231404958678,75.0920438899666,0.541536104867461,1.00959788915414,376.403901,323.868273,8,7467.38739176997,0.090292008196721,60,121,645,1,2,61,61,199.000373361756,293.379754475236,4323.33819036964,5,2.67409560723514,446.970548,9.72222222222222,218.928675164571,1.84494986326698,437.857350329143,-5.96768335727154,-0.165829390675926,38,35.7047607500893,325.265460244506,9.72222222222222,2.5,1,0,17,1.14242007368632,350,142.377777777778
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_83109374,grn_3.grn,62.091742896919,0.961575243288119,6.37931034482759,74.6328364268952,0.487520973560101,1.00854060789168,562.364638,400.180759,10,19807.2659841172,0.0916015625,159,319,1717,1,1,160,160,17.8697305853249,17.8697305853249,10010.1786895846,6,2.95180166912126,425.4796,23.5333333333333,274.307342443121,2.1344331178084,548.614684886241,-3.63111769142613,0.46204109275644,90,90.173459126372,361.586951402295,23.5333333333333,10,1,0,20,1.30611896387063,1059,734.209090909091
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_71457100,grn_3.grn,60.4571103836227,0.955611696758831,6.27424094025465,74.7702629360455,0.444473153360025,1.01041565388304,570.538821,583.129654,11,61726.7097016788,0.090141878669276,510,1021,5386,1,2,511,511,24.8992513451049,54.8379015777288,31784.9087078312,7,2.58321825290538,569.468359,64.4255319148936,285.45409536383,0.014505758643427,570.90819072766,-10.7153345868547,1.16197829986821,322,316.748342784288,322.687238237373,64.4255319148937,16,1,0,20,1.59123629304083,3028,9751.20629047179
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_96969415,grn_3.grn,60.596729352405,0.965489732760892,6.26267281105991,73.520206120614,0.518656820015578,1.0079559543218,526.341575,442.325072,9,13149.4902694719,0.089664564220184,108,217,1143,1,4,109,109,146.86865576538,236.005745018572,6788.74907403421,5,2.34520848140251,403.271817,16.9767441860465,261.701058426281,1.83037902842552,523.402116852562,-5.60860764808946,-0.252892155267964,59,57.168095952414,361.396699731531,16.9767441860465,9,1,0,20,1.04571536443426,730,347.68992248062
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_54288094,grn_3.grn,66.6345067947597,0.949586659977593,6.7219730941704,74.6965800853787,0.426467507002935,1.01041548449392,543.507743,498.448503,9,14859.4950152314,0.096819196428572,111,223,1277,1,3,112,112,100.955139663048,196.589817400528,8386.891715841,6,2.13955791335102,461.013846,16.0444444444444,275.517296523396,0.012649610058326,551.034593046792,-12.2779161889055,0.899354636033994,75,73.6241666832626,325.611350436741,16.0444444444444,3,1,0,20,1.52848264856663,722,531.725252525253
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_98004399,grn_3.grn,601.199484283295,0.949146381415263,44,NaN,NaN,1.00298651627108,564.002727,75.751678,1,601.199484283295,0.34375,0,1,44,1,1,1,1,601.199484283295,601.199484283295,601.199484283295,1,NaN,49.529296,1,279.638593093446,3,559.277186186892,-1.43241195830119,NaN,1,1,279.638593093446,1,1,41,0,0,NaN,41,0
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_17949687,grn_3.grn,64.6017820743897,0.956625488338433,6.55752212389381,70.6325097421299,0.538127014553134,1.01063925402814,553.150971,387.561566,8,7300.00137440604,0.093887061403509,56,113,629,1,1,57,57,87.371885273659,87.371885273659,3582.73229914503,5,3.11078431372549,440.186099,7.95555555555556,275.334093904569,0.014901947616377,550.668187809138,-11.9938997361451,3.03030458114918,41,37.5839229151186,287.84927999114,7.95555555555556,3,1,0,20,1.93071856038064,358,109.99797979798
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_74719433,grn_3.grn,68.445088063245,0.947994774075933,6.85547785547786,72.9326348236162,0.454476243073963,1.01111768710591,528.060672,556.528898,11,29362.9427791321,0.099091569767442,214,429,2513,1,2,215,215,91.4519473735286,112.60870615377,15798.0787761355,6,2.68630064843159,453.927545,32.8863636363636,269.736097859829,0.012967549146857,539.472195719658,-11.6366392890552,0.947274436839196,153,150.250144346747,301.10076040167,32.8863636363636,8,1,0,20,1.49683290177644,1447,2134.05655391121
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_42075553,grn_3.grn,58.9980580195098,0.960347167845032,6.16608996539792,74.9945827019136,0.455929770954698,1.00916490761039,479.028135,421.252849,13,17050.4387676383,0.088254310344828,144,289,1494,1,6,145,145,128.970715807188,307.84260242179,8426.49573375999,5,2.25501867413632,470.898342,20.325,241.180872930482,1.71837487232522,482.361745860963,-6.10680896578918,-0.234829824613621,74,72.3852655040274,309.206247346771,20.325,6,1,0,20,1.16861701370505,813,653.558333333333
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_72470968,grn_3.grn,219.525737168798,0.93744197106722,17.4,45.0514438531454,0.5,1.01475094600467,527.210134,95.704281,2,1097.62868584399,0.221354166666667,2,5,83,1,2,3,3,133.015544474097,581.93177653643,515.69690930756,2,1.5,85.883156,1.84210526315789,251.853923697906,2.74233581362238,503.707847395811,-2.20521807613638,1.40944531075962,3,2.99911918712865,503.707847395811,1.84210526315789,2,1,0,19,-0.860351970125245,70,0.190611664295875
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_8385061,grn_3.grn,68.359675213823,0.950783723260237,6.85217391304348,76.2914544561088,0.515375174871742,1.01128927259539,505.404877,433.773998,7,7861.36264958965,0.098464439655173,57,115,674,1,1,58,58,88.2779752570569,88.2779752570569,4311.13405690595,5,3.17324561403509,459.805105,8.92857142857143,257.195995428531,2.25931103559509,514.391990857062,-4.02471702958912,2.54039786627213,47,48.104122895439,363.838237435483,8.92857142857143,3,1,0,20,1.97587861902782,375,191.580139372822
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_6850334,grn_3.grn,53.5687649879887,0.96835977487526,5.82857142857143,86.6773185494839,0.555258467023173,1.01121082148131,534.505441,184.913859,5,1874.9067745796,0.081163194444445,17,35,170,1,1,18,18,398.214855209891,398.214855209891,615.084392317994,4,2.90598290598291,242.233268,2.18604651162791,254.902938893232,2.69847052724152,509.805877786463,-2.59144590519172,4.73291316976062,11,8.70742619420859,327.732350005584,2.18604651162791,1,1,0,20,2.21972312063213,94,5.58361018826135
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_62982867,grn_3.grn,72.7284366875454,0.945407601265656,7.08571428571429,83.4464596787972,0.445588235294118,1.01277849760584,497.588449,333.386384,4,2545.49528406409,0.100260416666667,17,35,214,1,1,18,18,105.905212806852,105.905212806852,999.100537768538,4,3.15555555555556,273.444826,3.31707317073171,254.098939088896,2.5268398434302,508.197878177792,-3.0586911727159,5.10411474159368,16,14.2095158803126,343.03356777001,3.31707317073171,2,1,0,20,2.40355763099822,136,12.9219512195122
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_61258112,grn_3.grn,106.36247043075,0.927716520933152,9.57894736842105,85.4302650237784,0.381481481481482,1.0121556744491,464.054432,234.411147,5,2020.88693818425,0.13515625,9,19,164,1,3,10,10,243.091653215889,504.130678486606,1198.27928802024,3,1.83333333333333,384.998819,2.57894736842105,240.391432059714,2.49360881026585,480.782864119429,-3.38241616329117,0.386776371502616,7,7.27254299739976,324.853286567182,2.57894736842105,2,1,0,19,1.18996675399407,98,3.87197724039829
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_66794492,grn_3.grn,67.8870121487092,0.949958714295354,6.75675675675676,73.5260659970667,0.500287892934952,1.01071513548587,330.1092,327.444508,6,2511.81944950224,0.095394736842105,18,37,214,1,6,19,19,317.648494966143,496.576278842504,1000.63324464797,3,1.79166666666667,379.205136,4.29032258064516,189.420122103425,2.21723344132755,378.84024420685,-4.59059270215861,1.75730323273945,19,19.5848910424404,315.700203505709,4.29032258064516,1,1,0,15,1.72678372336187,133,33.6129032258065
