Description,"Average branch length","Average contraction","Average fragmentation","Average remote bif. angle","Average partition asymmetry","Average fractal dimension",Depth,Height,"Highest path order","Cable length","No. of branch points","No. of branches","No. of nodes","No. of primary branches","No. of inner branches","No. of terminal branches","No. of tips","Length of primary branches (sum)","Length of inner branches (sum)","Length of terminal branches (sum)","Horton-Strahler number","Horton-Strahler bifurcation ratio",Width,"Sholl: Centroid","Sholl: Centroid radius","Sholl: Decay","Sholl: Enclosing radius","Sholl: Intercept","Sholl: Kurtosis","Sholl: Max","Sholl: Max (fitted)","Sholl: Max (fitted) radius","Sholl: Mean","Sholl: Median","Sholl: No. maxima","Sholl: No. secondary maxima","Sholl: Degree of Polynomial fit","Sholl: Skeweness","Sholl: Sum","Sholl: Variance",projectionGroup
AA0012,153.9526008261151,0.8823341342391476,12.0239651416122,72.41735759427083,0.5861372720134124,1.0317235761191808,10981.884505,7021.496713,14,141328.48755837363,452,918,10121,12,19,467,467,639.7795846777714,13513.90651458368,55895.328787746585,5,2.285242617142834,5890.175187000001,6.191117092866756,6029.945072486169,3.329507784813855,12059.890144972322,2.6495637844560074,10.014341092676815,55.0,42.758921859928996,97.51932731783549,6.191117092866753,3.0,1,3,20,2.6696117075965446,4600.0,51.13593176928941,PT-Medulla
AA0131,191.4657953981648,0.9282141072100555,10.57843137254902,55.020116290384784,0.47678185499661146,1.0190004503347223,9888.399769,5711.7166990000005,21,58588.53339183843,148,306,2932,12,12,159,159,635.1506574501587,181.53346040463194,28737.154672487373,5,2.211771561771562,5284.071332,3.298076923076923,5219.78484348487,3.4240286497187062,10439.569686969746,2.707310527832722,65.32726208074347,79.0,53.4763783588475,100.62235842862405,3.2980769230769287,2.0,1,2,20,7.485057882414006,1372.0,51.8964782205742,PT-Medulla
AA0133,199.71437708541754,0.9149911001220113,10.777131782945736,58.921305118009556,0.48238432469146114,1.0193149028094453,10653.027434,6084.151575,7,103052.61857607546,252,516,5046,12,11,265,265,1044.4837644410236,9996.181854776825,46054.311020334775,5,2.3402196430719924,5341.310518,4.758474576271187,5590.507038651132,3.181938356830415,11181.014077302261,1.076018957620365,44.52653370586071,81.0,58.72211552457631,94.95553356519967,4.75847457627119,2.0,1,3,20,5.8971417357896305,2246.0,63.058314440965745,PT-Medulla
AA0134,246.02191840062585,0.9266415389230248,12.166666666666666,58.7190588637583,0.5051875320979483,1.019889406159746,10032.675249,5721.934056,26,64949.786457765214,127,264,2949,12,26,138,138,5571.486421931433,9672.459577327269,30958.2497402793,5,2.0082164212598994,3582.765178,3.6894865525672373,5215.732135156639,3.014325833058312,10431.46427031328,-0.4544862547730672,53.86377427339653,60.0,44.036787454643054,76.70194316406824,3.6894865525672356,2.0,1,2,20,6.649367675611811,1509.0,33.12148233376467,PT-Medulla
AA0169,285.3178060301831,0.9356953847869204,9.30841121495327,60.55543388610862,0.4798614206612774,1.0136267087191908,8864.155021999999,6002.573777,12,61058.01049045918,103,214,1779,10,5,112,112,490.69519781931774,5952.0999124302,28440.76790774803,5,2.6326210826210827,4268.26502,2.9460580912863072,4925.140489764778,3.1393364629581684,9850.280979529556,0.2529436518627487,44.393268536541115,51.0,35.81214876644238,82.08567482941297,2.9460580912863072,1.0,1,3,20,5.961432061356062,710.0,27.817911479944886,PT-Medulla
AA0179,225.27222932204225,0.9018186732998787,7.496644295302014,73.70784869691269,0.557788363076893,1.0259865201497589,10930.872756,5801.897398,10,134262.24867593718,293,596,3873,10,7,304,304,579.2377098466754,6524.538431125786,46552.87133748363,6,3.190700310142819,4506.372987,5.455172413793103,5787.669012627709,2.835105467283202,11575.338025255418,-1.5637404459076798,5.516465007432286,36.0,22.42852409698661,80.1061455034977,5.455172413793104,4.0,1,2,20,2.0475824502117077,1582.0,29.2038658871257,PT-Medulla
AA0180,218.50546780231224,0.9137359111873303,6.75748502994012,65.42353189035083,0.5527265120831137,1.0199690469987492,11361.191132,5693.736519,8,145961.65249194458,330,668,3847,9,12,339,339,1088.9147847860859,14642.927438706,61349.39402078699,5,2.550720203709334,4783.282742000001,6.437735849056604,5777.093363836957,2.8293547554278913,11554.186727673912,-1.4105051218757338,12.692745261604673,52.0,35.3936026235616,87.53171763389328,6.437735849056608,5.0,1,2,20,2.702307929966557,1706.0,39.11826758147513,PT-Medulla
AA0576,210.91811318746184,0.931510305843971,4.531165311653116,67.48065659343075,0.5686191555171768,1.0194439791586074,10408.275393,6454.581878,9,155657.56753234685,368,738,2607,1,18,370,370,177.0591994196685,11513.4041366806,57102.9064857683,5,2.216326530612245,4238.726784999999,7.045751633986928,5595.777959847962,3.0768003342734347,11191.555919695931,0.9292225963811922,2.8530405408874366,27.0,17.859681606971307,220.88597209926178,7.04575163398693,6.0,1,3,20,1.7231685119654894,1078.0,28.649208806329547,PT-Medulla
AA0788,188.83679866837616,0.9132955612311656,10.543498596819457,70.16310971818987,0.6011897140637024,1.0208886689098047,10503.549009999999,6048.543549,42,201866.5377764941,529,1069,10203,13,8,541,541,551.7432202380393,7178.7448068356125,82680.29695624267,5,4.227956989247312,4744.7619859999995,8.560327198364009,5692.207308846835,2.8261180420865606,11384.41461769367,-1.2226285028671884,11.552571428014852,73.0,50.294014453792,93.31487391552189,8.56032719836401,6.0,1,2,20,2.8108668326924433,4186.0,88.16079989272177,PT-Medulla
AA0923,195.81173467848208,0.924610423991242,7.263829787234043,69.25852026264533,0.535115235026452,1.0183129315707362,10956.34147,7800.141616999999,20,138047.27294832986,347,705,4417,13,8,359,359,723.993795663215,6117.657166489005,54075.693880501065,6,2.352395222789437,4517.000041,6.717868338557993,5664.913455067072,3.4501418724416832,11329.826910134145,3.893664068612329,24.26604956571775,66.0,47.10770450631888,106.8851595295674,6.717868338557995,5.0,1,1,20,4.051352379475226,2143.0,50.712604246761764,PT-Medulla
