Description,"Average branch length","Average contraction","Average fragmentation","Average remote bif. angle","Average partition asymmetry","Average fractal dimension",Depth,Height,"Highest path order","Cable length","No. of branch points","No. of branches","No. of nodes","No. of primary branches","No. of inner branches","No. of terminal branches","No. of tips","Length of primary branches (sum)","Length of inner branches (sum)","Length of terminal branches (sum)","Horton-Strahler number","Horton-Strahler bifurcation ratio",Width,"Sholl: Centroid","Sholl: Centroid radius","Sholl: Decay","Sholl: Enclosing radius","Sholl: Intercept","Sholl: Kurtosis","Sholl: Max","Sholl: Max (fitted)","Sholl: Max (fitted) radius","Sholl: Mean","Sholl: Median","Sholl: No. maxima","Sholl: No. secondary maxima","Sholl: Degree of Polynomial fit","Sholl: Skeweness","Sholl: Sum","Sholl: Variance",projectionGroup
AA0011,169.2039731498926,0.8872706538014367,12.577487765089723,71.61901413688554,0.5778485040095203,1.028624023280759,9222.839241,6472.1157410000005,22,207444.07108176834,610,1226,14195,7,13,617,617,257.246215344425,4310.396400022319,72077.01715411329,6,2.4245487687057716,5669.184387,10.780889621087315,5074.708643769316,3.7542463647863977,10149.417287538634,6.542481865169029,8.403473263790927,81.0,67.64245371810195,117.23749342041326,10.780889621087367,8.0,1,1,20,2.337513845629808,6544.0,130.88755498284513,PT-Thalamus
AA0114,218.05715433744678,0.8934001476998245,13.753180661577607,66.54029263933384,0.5679281428698254,1.0240021944728528,9157.205769,4405.92474,10,171392.92330923316,392,786,10025,1,17,394,394,57.80396322840195,6498.444418957402,68848.9447415916,6,2.192415632227995,4537.467304000001,8.715705765407554,4851.845880048143,3.0983159573916246,9703.691760096286,1.1609421376952485,10.710960154768983,56.0,29.169887254036418,6108.299992411207,8.71570576540755,6.0,1,3,20,2.87275510499686,4384.0,75.56244208058402,PT-Thalamus
AA0115,219.6524607737268,0.8939727888458626,13.77639751552795,66.37633619562394,0.5089981334609256,1.0253743244733557,9034.200203,4910.87874,12,106092.13855371004,239,483,6172,1,12,244,244,122.75048011255961,8165.136496694089,32472.686084960787,5,2.1487042727538777,4898.970493999999,5.608863198458574,5066.45166856331,2.8069402317872534,10132.903337126612,-1.7087547673902788,1.8629128114410314,27.0,NaN,NaN,5.608863198458587,4.0,1,10,NaN,1.477103345803116,2911.0,26.57451588665456,PT-Thalamus
AA0122,228.40137059234536,0.9116339147912297,10.919104991394148,61.5026868741848,0.5262304634482207,1.019130345660541,8102.612061999999,4162.9687109999995,11,132701.19631415265,286,581,5764,11,6,296,296,3303.6473030079646,4869.054295733961,58337.354625083484,6,2.9891695102035394,4251.491986,9.692307692307692,3862.7901374125727,2.61536212316696,7725.580274825145,-2.7012072718823457,1.210397602761216,44.0,42.53131353560592,81.32189762973837,9.692307692307686,7.0,1,1,20,1.281151926303689,2772.0,77.19622132253727,PT-Thalamus
AA0181,204.03702015259313,0.9041004169663146,7.109404990403071,70.19785753351039,0.5407952719906484,1.023721080252718,8480.881542,5172.3553360000005,11,106303.28749950102,256,521,3184,10,11,266,266,513.2573471222256,6670.203497746811,37120.69553249696,6,2.526335079811901,4088.1212450000003,6.030973451327434,4369.392901105379,3.018657842218125,8738.78580221076,-0.022146102465833085,13.091302891924608,52.0,44.48757227129216,77.67809601965119,6.03097345132743,3.5,1,3,20,2.9089770350864397,1363.0,47.727925270403084,PT-Thalamus
AA0182,274.0888651152858,0.9064600658102288,7.014373716632443,63.5369177389878,0.5752618116604453,1.0197154541853486,9216.856557000001,5677.376141,16,133481.27731114416,241,487,2930,7,8,247,247,852.7036008785016,8127.940678854807,48489.63753196195,5,2.4833333333333334,4527.121138,6.430051813471502,5176.096507402466,2.9004937118932883,10352.193014804932,-0.7146362661650821,-0.03258514805655155,22.0,16.853723194289678,107.83534390421805,6.430051813471503,4.0,1,1,20,1.0190905758884885,1241.0,26.350550518134792,PT-Thalamus
AA0245,205.55657041644622,0.9058400603934711,7.869481765834933,67.58347804256401,0.5770963709975325,1.0223393960115883,8466.288781,5626.769662000001,18,214189.94637393695,515,1042,7159,12,11,528,528,555.3930216288625,5500.99879582855,87497.05008047266,6,2.4155454299687875,4916.304803000001,13.452380952380953,3971.3426381231325,2.905740620264277,7942.685276246266,0.13590460530992401,2.0794111766965373,56.0,50.803132565231564,76.00655766742838,13.452380952380949,11.0,1,2,20,1.21338499216445,2825.0,93.53121439963542,PT-Thalamus
AA0261,125.96540735104362,0.9347660694670186,5.08993399339934,68.71253300415499,0.6208315756759852,1.020146539730506,7102.280262,5504.554635,31,152670.07370946486,598,1212,4958,10,11,615,615,535.2933305774809,5131.663496894647,50234.36076768258,6,2.4965970405933144,4192.562286,9.81159420289855,3924.641485472361,2.8704799604141478,7849.282970944721,-0.6427401105489365,2.884790270752804,52.0,47.765786580019196,76.20663078587107,9.811594202898547,6.0,1,2,20,1.6791565405732205,2031.0,95.15365132967493,PT-Thalamus
AA0415,154.77252474432385,0.8949049563791037,20.991097922848663,66.5700650435316,0.5131095017626028,1.0310102906703276,7338.682365000001,4851.793762,23,52158.34083883713,165,337,6738,9,7,173,173,285.59040435661257,3161.503954659208,24004.366197188803,5,2.5596887562506128,3323.840795,4.09811320754717,3883.5629492680127,3.4611787809703483,7767.125898536023,3.1564733442495574,32.28647270866431,62.0,52.42951463750495,78.25819545124456,4.09811320754718,2.0,1,1,20,5.243273316534923,3258.0,46.416054370040406,PT-Thalamus
AA0617,103.99997430326478,0.8841950617670061,8.581032412965186,76.07357885402958,0.5971837249736021,1.0362929578260485,5971.986221,5820.9316260000005,14,86631.97859461956,408,833,6316,13,9,426,426,523.5652172758773,4258.579136539945,29858.350582685704,5,2.798827212410055,2867.195352999999,6.708609271523179,3606.853913901121,3.5667717474030933,7213.707827802241,4.437445915392156,22.583991026099056,72.0,62.51800978941825,79.79765296241416,6.708609271523172,4.0,1,2,20,4.2466410019054415,3039.0,84.33083279610844,PT-Thalamus
