Description,"Average branch length","Average contraction","Average fragmentation","Average remote bif. angle","Average partition asymmetry","Average fractal dimension",Depth,Height,"Highest path order","Cable length","No. of branch points","No. of branches","No. of nodes","No. of primary branches","No. of inner branches","No. of terminal branches","No. of tips","Length of primary branches (sum)","Length of inner branches (sum)","Length of terminal branches (sum)","Horton-Strahler number","Horton-Strahler bifurcation ratio",Width,"Sholl: Centroid","Sholl: Centroid radius","Sholl: Decay","Sholl: Enclosing radius","Sholl: Intercept","Sholl: Kurtosis","Sholl: Max","Sholl: Max (fitted)","Sholl: Max (fitted) radius","Sholl: Mean","Sholl: Median","Sholl: No. maxima","Sholl: No. secondary maxima","Sholl: Degree of Polynomial fit","Sholl: Skeweness","Sholl: Sum","Sholl: Variance",projectionGroup
AA0039,218.99077426600022,0.7131168567943619,71.53684210526316,65.95591471202852,0.5374505456409558,1.1056652992506106,3547.4269520000003,3574.440316,21,62412.370665810064,139,285,20104,9,8,147,147,721.5951542694711,3813.629663896947,33324.25060819846,5,2.1637763504611334,1818.3541249999994,8.508670520231213,1909.3276063900685,3.3924252644087622,3818.655212780138,2.626692753014098,4.651741869501915,67.0,47.550954487443875,66.34729134173985,8.508670520231203,1.0,1,1,20,2.0801305510083603,4416.0,141.67125672327964,Corticothalamic
AA0101,138.1961932814231,0.8287427509663199,42.27038626609442,75.04899122979893,0.5917290887406117,1.0744998174110165,3374.337634,3363.544027,22,64399.42606914316,227,466,19233,13,8,240,240,1730.3566263485275,3761.53558214472,29233.392503396557,5,2.5861575241698196,3047.298096,9.101659751037344,1782.8849468267915,3.359250099021704,3565.769893653584,2.44636961130351,3.525836619183363,72.0,50.79989033917875,88.95891626578587,9.101659751037355,2.0,1,1,20,1.7961834307071858,4387.0,138.365943185446,Corticothalamic
AA0103,130.6295069755935,0.8687018685407383,27.39316239316239,71.5895345606779,0.60586390847037,1.0545410928884298,3781.222708,3952.4178299999994,19,76418.2615807222,289,585,15441,9,6,297,297,478.30318931074873,3448.9290927407283,35377.39643686792,6,2.4615393133997783,3255.0926670000003,7.660886319845857,2348.9235508644374,3.105641993416516,4697.847101728876,0.36627872265845085,1.224718642944616,45.0,37.095071599159795,72.55362319272395,7.660886319845863,1.0,1,1,20,1.5729891244454104,3976.0,123.487096510218,Corticothalamic
AA0105,251.73220349461684,0.7577626408788006,56.329824561403505,79.45324125054266,0.48603643129107293,1.0711741819256997,4035.502476,3776.874225,12,71743.6779959658,138,285,15770,11,3,148,148,1651.2503857357854,119.12864018870224,38889.22749317035,5,2.9174730201233365,1503.3478029999997,9.866666666666667,2076.974715294348,3.436554731230691,4153.9494305886965,3.215569845959032,0.6536286403854494,53.0,37.0837218822973,53.9473952024506,9.866666666666681,3.0,1,2,20,1.1465772608303422,5328.0,119.53692022263442,Corticothalamic
AA0188,274.385886767268,0.8942521609492199,9.528225806451612,69.13300444153795,0.5752136357684324,1.0235783509105627,4982.981382,3364.376818,16,68047.69991828248,121,248,2116,7,2,128,128,3730.501186570263,3762.4978760396098,39070.4698196986,5,3.10562865497076,2762.090864,6.814814814814815,2487.1738246036075,2.7594194311607425,4974.347649207211,-2.2653135778158475,1.5018720575942308,38.0,31.08856026066868,4083.4197120357708,6.814814814814808,1.0,1,1,20,1.6838891625325585,920.0,101.07739082365947,Corticothalamic
AA0278,328.8096059480093,0.838141840704282,10.976076555023923,74.06494255939373,0.5303181324552935,1.0319570327797394,4882.57793,3494.064956,13,68721.20764313394,100,209,2086,11,7,110,110,621.7402965518172,6475.130015889076,36611.580216835406,5,2.188131313131313,2564.207517,9.314814814814815,2021.0589422575742,2.8918554506676815,4042.1178845151485,-0.6847363715641325,-0.25389517220102453,36.0,31.48483251439003,3286.5818313347468,9.31481481481481,4.0,1,1,20,1.0752038215502153,1006.0,100.7223952924887,Corticothalamic
AA0390,244.19644977168292,0.8672637371320573,34.207357859531776,71.80222826503358,0.48956746203234164,1.0297432822337618,5253.942284,2881.4364389999996,13,73014.73848173319,145,299,9930,10,2,155,155,525.3039988582391,4752.708907700032,38885.887126456306,6,2.509467787114846,3696.617987,5.960923623445826,2598.2701826574635,2.9705977850883127,5196.540365314927,-0.8302342291187198,2.866271852859225,45.0,33.85597075510917,4595.51701345466,5.960923623445842,1.0,1,1,20,2.01542635159924,3356.0,92.69953793543726,Corticothalamic
AA0394,251.929251803944,0.8808963840831552,36.908424908424905,68.77207467034393,0.48061650534032513,1.0296085373054034,5206.499974,3527.537999,18,68776.68574247671,132,273,9804,10,8,142,142,403.83436808491285,5583.927162786519,33206.534001156404,5,2.108537296037296,3154.8078140000007,5.811320754716981,2578.2725554431,2.9560636458019287,5156.5451108862,-0.9307575122570738,4.779408411805466,55.0,34.820620993774696,4447.741659217993,5.811320754716993,1.0,1,1,20,2.3108304572676763,3388.0,92.2117616546715,Corticothalamic
AA0406,353.7973703580492,0.8248659306042723,44.656410256410254,71.50621732468333,0.5282452027822702,1.0395383522177546,5740.859270000001,2436.42638,12,68990.4872198196,94,195,8514,9,4,102,102,469.0837019462935,5210.680508301602,39602.00596780214,5,3.065530303030303,3082.3394799999996,5.886,2682.5222862728124,2.9933308209278047,5365.044572545624,-0.5420633779586918,3.2160973451738912,45.0,27.524624180376687,4332.891708889552,5.886000000000012,1.0,1,1,20,1.9415827518062574,2943.0,71.11122645290558,Corticothalamic
AA0577,251.83495823804563,0.8977298492617604,5.620320855614973,79.4301284343134,0.39163699920309986,1.0227302011608472,4561.890135,3337.6437039999996,6,47093.13719051454,88,187,865,11,4,100,100,517.6671482654809,4211.157805608743,27208.97907913136,5,2.2647366220735785,1750.4507510000003,5.157894736842105,2541.1870576495858,2.83447569174845,5082.3741152991715,-1.9016349056454147,1.3586075503042272,28.0,26.948123832267264,67.76498820398895,5.1578947368421035,1.0,1,1,20,1.5990439434878405,392.0,51.89473684210526,Corticothalamic
AA0599,178.98089277993873,0.9152356159878521,5.626666666666667,70.63075505935339,0.5368347805128599,1.0225584812618544,4568.441537,3389.7128970000003,9,67117.83479247702,182,375,1736,13,9,194,194,1042.3309693808294,4363.791523501259,40640.2281515391,5,2.168136487050961,2491.2732319999996,7.212962962962963,2534.4908390208643,2.8326932113865366,5068.981678041729,-1.7998919927114028,2.957584774279027,52.0,40.88444621628252,4263.629448820146,7.2129629629629575,1.0,1,1,20,1.9817648078815233,779.0,137.72057805469024,Corticothalamic
AA0633,119.77181640505563,0.9153440473698832,8.599326599326599,87.6647610933474,0.6568636043314301,1.0291325914591996,5329.783113,2951.2608020000002,17,35572.229472301515,142,297,2258,14,5,156,156,5056.308210714809,5258.987063430334,10701.368162981127,5,2.4809681697612733,2605.2227490000005,3.9535714285714287,2724.5053559515663,2.97846203876647,5449.010711903131,-0.8216031021252793,3.8676137058582953,26.0,22.983742051007063,39.06100868747764,3.953571428571433,1.0,1,1,20,2.033138652325174,1107.0,25.09102662570414,Corticothalamic
AA0650,79.68358238374995,0.8933434988966252,6.859047619047619,88.64560951149384,0.6825882200363866,1.0428251739268255,4726.918019,3277.310559,9,41833.88075146872,257,525,3077,10,7,269,269,354.4521962709005,6442.469914016809,12429.19084823595,6,2.942892857142857,2289.5075339999994,4.70957095709571,2426.714114686474,2.999132817979392,4853.428229372948,-0.8126090423651392,5.643462900144181,45.0,32.03192679446772,4323.086734110341,4.709570957095711,1.0,1,2,20,2.4536819448949823,1427.0,66.73656372259745,Corticothalamic
AA0781,276.6860942226988,0.8416899649015058,16.419689119170986,74.22572261048455,0.5458653434477612,1.035798833871648,5117.536357,3059.7479290000006,11,53400.416184980866,92,193,2977,11,6,102,102,608.8769151309039,4061.757950643801,29505.944017544218,5,2.499786324786325,2807.80681,5.945606694560669,2486.359943792832,3.2729932099085923,4972.719887585664,1.6465917032868322,1.5197924223696315,31.0,25.191720308274874,4429.481580538491,5.945606694560664,1.0,1,1,20,1.5430698958760618,1421.0,54.70711297071142,Corticothalamic
AA0784,335.09676279596124,0.8532433529836,22.055084745762713,78.37494818237914,0.5632071387487837,1.0290821575999756,5272.7338469999995,3308.7683530000004,12,79082.83601984687,112,236,4970,14,11,125,125,982.8933767421838,5986.882241520224,41365.09735527632,5,2.306576945202175,3817.502764,7.516516516516517,2853.3613625097755,2.8012354747399817,5706.722725019552,-1.77177712786723,-0.009780961410373212,36.0,28.654464715567254,4469.120206340613,7.516516516516525,2.0,1,1,20,1.17337636530871,2503.0,83.74445529867226,Corticothalamic
AA0799,185.60184578814142,0.9198346865547042,6.947882736156352,73.00398027536475,0.5403652802482387,1.0182084197381556,3202.1865789999993,3689.469258,8,56979.766656959415,149,307,1827,11,4,159,159,4061.091448610536,3961.4717301335186,27155.47207702742,5,2.8228162124388536,1628.0478860000003,7.726495726495727,2048.0571991278302,2.746848749249459,4096.1143982556605,-1.9897716677672468,-0.12254385140504187,33.0,27.21608862661119,2930.840474613964,7.726495726495727,3.0,1,1,20,1.027508789229201,904.0,70.61420571765402,Corticothalamic
AA0817,188.15025642577172,0.9163959355153275,6.635627530364372,66.43010171309398,0.45484743440442854,1.0190558403420535,4210.1116170000005,3246.9330630000004,7,46473.11333716561,116,247,1393,12,6,132,132,4195.83437207848,4675.412135070706,23141.232743043314,5,2.2804330065359477,3138.6719920000005,4.9772727272727275,2444.982725236401,2.7084973798271625,4889.965450472803,-2.869873523031488,1.9058419063385164,32.0,26.59341248598304,37.32798053796033,4.977272727272727,1.0,1,1,20,1.7435099870668807,657.0,52.28192227619704,Corticothalamic
AA0837,263.7295131338636,0.853983434626871,9.357142857142858,72.79153254817962,0.5165726676806326,1.033221377217214,5298.148499000001,3501.053812,7,40614.34502261499,72,154,1288,11,5,83,83,533.2532001410776,5799.8984140897155,19139.1496933378,4,2.6587434973989597,1635.234219,4.784722222222222,2462.19723576236,3.060353163587451,4924.39447152472,-0.11540814391995351,5.3463300146151385,33.0,26.66333831691754,4201.231647035075,4.78472222222222,1.0,1,1,20,2.3582554453852325,689.0,45.05123348873346,Corticothalamic
AA0838,290.8689729710578,0.8785993140134752,7.277551020408163,70.29982834271875,0.4826601139956301,1.0260040387344718,3935.6992619999996,4096.73625,12,71262.89837790915,120,245,1539,7,6,126,126,264.24424915693635,4497.414213849377,36813.70073887926,5,2.3158333333333334,3291.0312329999997,8.949367088607595,2065.717399250557,3.020526842264383,4131.434798501114,0.231109627013182,1.7273380737037463,44.0,34.64164537778544,2807.2569784687057,8.949367088607593,4.0,1,1,20,1.4759886488674245,707.0,97.45894190197986,Corticothalamic
AA0844,291.8313591546445,0.8824676825326947,9.275862068965518,73.49921025060709,0.539495645180909,1.023632155524521,3663.1852099999996,3307.9209539999997,11,59241.76590839282,98,203,1681,9,2,106,106,4427.051319740689,4083.925359485246,29199.74199161891,5,2.8242296918767504,1711.1016580000005,7.857142857142857,1948.1183032973513,2.8837276586019893,3896.236606594702,-1.2498605875842694,2.5366348893717174,48.0,44.56885592473667,2972.3866895670926,7.857142857142861,1.0,1,1,20,1.8964561030694904,770.0,149.5051546391753,Corticothalamic
