Description,"Average branch length","Average contraction","Average fragmentation","Average remote bif. angle","Average partition asymmetry","Average fractal dimension",Depth,Height,"Highest path order","Cable length","No. of branch points","No. of branches","No. of nodes","No. of primary branches","No. of inner branches","No. of terminal branches","No. of tips","Length of primary branches (sum)","Length of inner branches (sum)","Length of terminal branches (sum)","Horton-Strahler number","Horton-Strahler bifurcation ratio",Width,"Sholl: Centroid","Sholl: Centroid radius","Sholl: Decay","Sholl: Enclosing radius","Sholl: Intercept","Sholl: Kurtosis","Sholl: Max","Sholl: Max (fitted)","Sholl: Max (fitted) radius","Sholl: Mean","Sholl: Median","Sholl: No. maxima","Sholl: No. secondary maxima","Sholl: Degree of Polynomial fit","Sholl: Skeweness","Sholl: Sum","Sholl: Variance",projectionGroup
AA0012,153.95260080185184,0.8823341339485908,12.0239651416122,72.41735764666143,0.5861372720134124,1.031723576126208,10981.884505,7021.496713,15,141328.48753609997,452,918,10121,12,19,467,467,639.7795844235924,13513.906514791479,55895.328794147215,5,2.285242617142834,5890.175187000001,6.191117092866756,6029.945072516274,3.329507784813852,12059.890145032548,2.6495637844576057,10.014341092676815,55.0,42.76152988157014,97.5193273183225,6.191117092866753,3.0,1,3,20,2.6696117075965446,4600.0,51.13593176928941,PT-Medulla
AA0131,191.46579541367956,0.928214106727078,10.57843137254902,55.02011591537731,0.4767818549966114,1.0190004503790548,9888.399769,5711.7166990000005,20,58588.533396585946,148,306,2932,12,12,159,159,635.1506589923829,181.53346052950462,28737.154675015307,5,2.211771561771562,5284.071332,3.298076923076923,5219.784843800882,3.4240286497187054,10439.569687601763,2.7073105278583895,65.32726208074347,79.0,53.492509302533584,100.62235843471578,3.2980769230769287,2.0,1,2,20,7.485057882414006,1372.0,51.8964782205742,PT-Medulla
AA0133,199.71437706203326,0.9149911001395543,10.777131782945736,58.92130529259425,0.4823843246914612,1.019314902776542,10653.027435,6084.151575,8,103052.61856400919,252,516,5046,12,11,265,265,1044.4837660139951,9996.181856729569,46054.311015408086,5,2.3402196430719924,5341.310518,4.758474576271187,5590.507038270021,3.1819383568304085,11181.014076540041,1.076018957607852,44.52653370586071,81.0,58.727480002258524,94.95553355872646,4.75847457627119,2.0,1,3,20,5.8971417357896305,2246.0,63.058314440965745,PT-Medulla
AA0134,246.02191841563413,0.9266415387813635,12.166666666666666,58.71905885798498,0.5051875320979484,1.019889406210469,10032.675249,5721.934056,26,64949.7864617274,127,264,2949,12,26,138,138,5571.4864241513715,9672.459576474059,30958.249741593798,5,2.0082164212598994,3582.765178,3.6894865525672373,5215.732134905195,3.0143258330583107,10431.464269810393,-0.45448625477378496,53.86377427339653,60.0,44.04195520514483,76.70194316037053,3.6894865525672356,2.0,1,2,20,6.649367675611811,1509.0,33.12148233376467,PT-Medulla
AA0169,285.3178060913571,0.9356953845123516,9.30841121495327,60.5554343262773,0.4798614206612774,1.0136267087370252,8864.155021999999,6002.573777,12,61058.01050355042,103,214,1779,10,5,112,112,490.69519629841074,5952.099911178562,28440.767924913693,5,2.6326210826210827,4268.26502,2.9460580912863072,4925.140490290269,3.139336462958169,9850.280980580537,0.2529436518776265,44.393268536541115,51.0,35.80879869225667,82.08567483817114,2.9460580912863072,1.0,1,3,20,5.961432061356062,710.0,27.817911479944886,PT-Medulla
AA0179,225.27222931763382,0.901818673477278,7.496644295302014,73.70784863819824,0.557788363076893,1.0259865201433105,10930.872756,5801.897398,10,134262.24867330975,293,596,3873,10,7,304,304,579.2377120698254,6524.538430104254,46552.871333283816,6,3.190700310142819,4506.372987,5.455172413793103,5787.66901230016,2.8351054672832054,11575.338024600307,-1.563740445898355,5.516465007432286,36.0,22.406033576576284,80.10614549896407,5.455172413793104,4.0,1,2,20,2.0475824502117077,1582.0,29.2038658871257,PT-Medulla
AA0180,218.50546780839846,0.9137359113997024,6.75748502994012,65.42353191698777,0.5527265120831136,1.0199690470404306,11361.191132,5693.736519,9,145961.6524960102,330,668,3847,9,12,339,339,1088.914781106882,14642.92743844434,61349.39402454206,5,2.550720203709334,4783.282743,6.437735849056604,5777.093364102061,2.8293547554278895,11554.186728204122,-1.4105051218835887,12.692745261604673,52.0,35.36561987549176,87.53171763791002,6.437735849056608,5.0,1,2,20,2.702307929966557,1706.0,39.11826758147513,PT-Medulla
AA0576,210.91811321779167,0.9315103055095675,4.531165311653116,67.48065652879787,0.5686191555171768,1.019443979227717,10408.275393,6454.581878,9,155657.56755473025,368,738,2607,1,18,370,370,177.0591994196685,11513.404137036538,57102.90648632973,5,2.216326530612245,4238.726784999999,7.045751633986928,5595.777959771489,3.0768003342734347,11191.555919542976,0.929222596380142,2.8530405408874366,27.0,17.864626795669473,220.88597209624294,7.04575163398693,6.0,1,3,20,1.7231685119654894,1078.0,28.649208806329547,PT-Medulla
AA0788,188.83679866939679,0.9132955613370809,10.543498596819457,70.16310962367326,0.6011897140637024,1.0208886689513825,10503.549009999999,6048.543549,42,201866.53777758515,529,1069,10203,13,8,541,541,551.743222057301,7178.74480657911,82680.29696439591,5,4.227956989247312,4744.7619859999995,8.560327198364009,5692.207309157358,2.8261180420865646,11384.414618314719,-1.2226285028766335,11.552571428014852,73.0,50.29697426054089,93.31487392061244,8.56032719836401,6.0,1,2,20,2.8108668326924433,4186.0,88.16079989272177,PT-Medulla
AA0923,195.81173468579507,0.9246104237033457,7.263829787234043,69.25852028885001,0.535115235026452,1.0183129316551915,10956.34147,7800.141616999999,20,138047.27295348552,347,705,4417,13,8,359,359,723.993795470407,6117.657164972227,54075.69388437329,6,2.352395222789437,4517.000041,6.717868338557993,5664.913454883694,3.4501418724416815,11329.826909767397,3.893664068597757,24.26604956571775,66.0,47.111386769925936,106.88515952610751,6.717868338557995,5.0,1,1,20,4.051352379475226,2143.0,50.712604246761764,PT-Medulla
